item_id,title,series_name,vol_no,edition_type,special_benefits,author,publisher,release_date,price,rating,sales_point,rank,collected_at
234054568,마도정병의 슬레이브 2,마도정병의 슬레이브,2,,,타케무라 요헤이,대원씨아이(만화),2020-02,4950,8.2,1839,968,2026-09-07T08:54:48+09:00
313255057,명탐정 코난 1,명탐정 코난,1,,,아오야마 고쇼,서울미디어코믹스(서울문화사),2020-08,5400,10.0,1774,969,2026-09-07T08:54:48+09:00
360344081,얼음 성벽 9,얼음 성벽,9,,,아가사와 코챠,학산문화사(만화),2025-03,9000,10.0,1872,970,2026-09-07T08:54:48+09:00
340411847,이거 그리고 죽어 2,이거 그리고 죽어,2,,,토요다 미노루,대원씨아이(만화),2024-05,5400,9.5,1709,971,2026-09-07T08:54:48+09:00
382235722,긴키 지방의 어느 장소에 대하여 2,긴키 지방의 어느 장소에 대하여,2,,,우스이 츠카사,오팬스코믹,2025-12,7650,9.4,1732,972,2026-09-07T08:54:48+09:00
330130887,너의 밤에 닿는다,너의 밤에 닿는다,,,,모리 모요리,인디고,2023-12,5850,10.0,1602,973,2026-09-07T08:54:48+09:00
398326479,샨티 1,샨티,1,,"- S코믹스, 초판 한정 PET 일러스트 카드 2종",스가 쿄스케,㈜소미미디어,2026-07,6300,10.0,1765,974,2026-09-07T08:54:48+09:00
364587521,얼음 성벽 10,얼음 성벽,10,,,아가사와 코챠,학산문화사(만화),2025-05,9000,10.0,1712,975,2026-09-07T08:54:48+09:00
374951156,얼음 성벽 11,얼음 성벽,11,,,아가사와 코챠,학산문화사(만화),2025-10,9000,10.0,1781,976,2026-09-07T08:54:48+09:00
400001284,와카코와 술 25,와카코와 술,25,,,신큐 치에,AK(에이케이)커뮤니케이션즈,2026-08,7200,,1680,977,2026-09-07T08:54:48+09:00
296275956,네가 죽을 때까지 사랑하고 싶어 2,네가 죽을 때까지 사랑하고 싶어,2,,,나치 아오노,학산문화사(만화),2021-02,5400,,1649,978,2026-09-07T08:54:48+09:00
293793600,포켓몬스터 스페셜 3,포켓몬스터 스페셜,3,,,,대원씨아이(만화),1999-10,4950,,1778,979,2026-09-07T08:54:48+09:00
358525681,얼음 성벽 8,얼음 성벽,8,,,아가사와 코챠,학산문화사(만화),2025-02,9000,10.0,1683,980,2026-09-07T08:54:48+09:00
398360386,뷰티풀 군바리 12,뷰티풀 군바리,12,,- 초판 한정 포토카드 2종,설이,길찾기,2026-07,17820,,1610,981,2026-09-07T08:54:48+09:00
298203573,나루토 Naruto 45,나루토 Naruto,45,,,키시모토 마사시,대원씨아이(만화),2009-06,4950,,1644,982,2026-09-07T08:54:48+09:00
390588755,통제구역관리부 2,통제구역관리부,2,,,탄광,다산코믹스,2026-04,18900,,1552,983,2026-09-07T08:54:48+09:00
400224536,딸이 아니라 나를 좋아한다고?! 4,딸이 아니라 나를 좋아한다고?!,4,,- S코믹스,아즈마 텟신,㈜소미미디어,2026-08,6300,,1430,984,2026-09-07T08:54:48+09:00
399950807,내 최애는 막차를 탄다 3~4 세트 - 전2권,내 최애는 막차를 탄다 3~4 세트 - 전2권,,,"- 포토카드 2종(3,4권 부록) + 폴라로이드 3종 + 작가님 사인 인쇄본",직씨,네이버웹툰,2026-10,28800,,1440,985,2026-09-07T08:54:48+09:00
382629229,도라에몽 6 : 50주년 기념 스페셜판,도라에몽 6 : 50주년 기념 스페셜판,,,,후지코 F. 후지오,대원씨아이(만화),2025-12,16200,8.0,1522,986,2026-09-07T08:54:48+09:00
362613758,Re : 제로부터 시작하는 이세계 생활 25,Re : 제로부터 시작하는 이세계 생활,25,,"- 개정판, Novel Engine",나가츠키 탓페이,데이즈엔터(주),2025-04,7200,8.0,1501,987,2026-09-07T08:54:48+09:00
399782211,평화로운 나라의 시마자키에게 11,평화로운 나라의 시마자키에게,11,,,세시모 타케시,학산문화사(만화),2026-08,5400,10.0,1625,988,2026-09-07T08:54:48+09:00
389890616,아다치와 시마무라 3,아다치와 시마무라,3,,,유즈하라 모케,학산문화사(만화),2026-04,6300,10.0,1487,989,2026-09-07T08:54:48+09:00
376973639,삼국지를 한번도 안 읽어 볼 수는 없잖아,삼국지를 한번도 안 읽어 볼 수는 없잖아,,,- 열 번은 읽은 듯한 빠삭함!,Team. StoryG,oldstairs(올드스테어즈),2025-11,18000,10.0,1375,990,2026-09-07T08:54:48+09:00
395514613,마법소녀 단델라이온 2,마법소녀 단델라이온,2,,"- SL Comic / 초판 한정 특전 띠지, 일러스트 카드 2종",미즈호 카에루,디앤씨미디어(주)(D&C미디어),2026-06,6300,,1290,991,2026-09-07T08:54:48+09:00
279639009,일하는 세포 6,일하는 세포,6,,- 완결,시미즈 아카네,학산문화사(만화),2021-09,4500,9.1,1361,992,2026-09-07T08:54:48+09:00
367956207,Re : 제로부터 시작하는 이세계 생활 24,Re : 제로부터 시작하는 이세계 생활,24,,"- 개정판, Novel Engine",나가츠키 탓페이,데이즈엔터(주),2025-07,7200,,1490,993,2026-09-07T08:54:48+09:00
357930933,풀 나이트 2,풀 나이트,2,,- S코믹스,야스다 카스미,㈜소미미디어,2025-02,6300,10.0,1313,994,2026-09-07T08:54:48+09:00
400856505,아오아시 16,아오아시,16,,,코바야시 유고,대원씨아이(만화),2026-08,5850,,1260,995,2026-09-07T08:54:48+09:00
